epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,3482.75,0.98744,0.58708,0.96732,0.83388,0.81252,0.85625,0.54511,1.25861,0.74298,1.07844,0.000687804,0.000687804,0.000687804
91,3522.98,0.99394,0.59132,0.96728,0.8674,0.81685,0.86647,0.54101,1.2576,0.73913,1.07697,0.000676802,0.000676802,0.000676802
92,3561.58,0.99058,0.59051,0.96686,0.85905,0.81304,0.85614,0.53874,1.263,0.72802,1.07887,0.0006658,0.0006658,0.0006658
93,3600.15,0.97391,0.57472,0.9592,0.83604,0.8343,0.85559,0.53363,1.25438,0.73571,1.07875,0.000654798,0.000654798,0.000654798
94,3638.77,0.96231,0.57816,0.95717,0.86867,0.7853,0.85785,0.53506,1.29219,0.73675,1.0877,0.000643795,0.000643795,0.000643795
95,3677.38,0.95079,0.55899,0.94598,0.83577,0.82878,0.85545,0.53146,1.26137,0.73903,1.07944,0.000632793,0.000632793,0.000632793
96,3716.02,0.9599,0.56707,0.95433,0.85483,0.81389,0.86397,0.5502,1.25219,0.72358,1.07731,0.000621791,0.000621791,0.000621791
97,3754.73,0.95675,0.56662,0.95343,0.84127,0.82703,0.86398,0.54859,1.25875,0.7215,1.08807,0.000610789,0.000610789,0.000610789
98,3793.39,0.97154,0.57698,0.95935,0.85736,0.8059,0.85921,0.54703,1.26523,0.72531,1.08606,0.000599787,0.000599787,0.000599787
99,3831.99,0.94316,0.55437,0.94956,0.84797,0.82741,0.87402,0.55795,1.24355,0.70046,1.0717,0.000588784,0.000588784,0.000588784
100,3870.73,0.94274,0.56015,0.94472,0.84351,0.8295,0.8696,0.55675,1.24135,0.7192,1.0762,0.000577782,0.000577782,0.000577782
101,3909.34,0.95116,0.56519,0.95246,0.85028,0.81756,0.84977,0.54023,1.25489,0.72549,1.07169,0.00056678,0.00056678,0.00056678
102,3947.87,0.94348,0.55762,0.95071,0.83724,0.83036,0.8457,0.53874,1.2363,0.73176,1.08159,0.000555778,0.000555778,0.000555778
103,3986.45,0.93651,0.55033,0.95436,0.84663,0.82602,0.85986,0.54673,1.24518,0.71472,1.06576,0.000544776,0.000544776,0.000544776
104,4025.04,0.93581,0.54913,0.93743,0.82868,0.82447,0.849,0.53716,1.24471,0.74408,1.07943,0.000533773,0.000533773,0.000533773
