epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
103,819.485,0.76351,0.47349,0.902,0.79363,0.7735,0.81989,0.50884,1.30275,0.77734,1.19869,0.000544776,0.000544776,0.000544776
104,827.255,0.75751,0.45338,0.89407,0.81648,0.72071,0.82832,0.50482,1.39042,0.81684,1.1808,0.000533773,0.000533773,0.000533773
105,834.958,0.73927,0.45423,0.90036,0.81945,0.80909,0.8531,0.51329,1.28778,0.77039,1.15506,0.000522771,0.000522771,0.000522771
106,842.609,0.71818,0.43779,0.88972,0.87836,0.77463,0.84952,0.5253,1.36589,0.77349,1.17721,0.000511769,0.000511769,0.000511769
107,850.346,0.72864,0.4433,0.88865,0.89703,0.78384,0.85208,0.51794,1.38444,0.75449,1.17612,0.000500767,0.000500767,0.000500767
108,858.048,0.71115,0.43981,0.8857,0.86151,0.78745,0.85759,0.52925,1.36992,0.76875,1.18558,0.000489765,0.000489765,0.000489765
109,865.843,0.70751,0.43544,0.89466,0.86322,0.77008,0.85539,0.52803,1.35537,0.73615,1.18805,0.000478762,0.000478762,0.000478762
110,873.489,0.71433,0.43805,0.889,0.86352,0.80279,0.86315,0.52568,1.34777,0.74997,1.16337,0.00046776,0.00046776,0.00046776
111,881.115,0.72536,0.42529,0.88691,0.88013,0.82002,0.87526,0.53081,1.41328,0.7213,1.18016,0.000456758,0.000456758,0.000456758
112,888.882,0.71668,0.43864,0.89024,0.89514,0.77942,0.85755,0.52679,1.37854,0.76385,1.17713,0.000445756,0.000445756,0.000445756
113,896.57,0.70878,0.41856,0.88352,0.86541,0.81298,0.85466,0.5162,1.4015,0.74309,1.17759,0.000434754,0.000434754,0.000434754
114,904.164,0.70027,0.42453,0.88434,0.85958,0.7984,0.85104,0.51988,1.32983,0.72871,1.1819,0.000423751,0.000423751,0.000423751
115,911.827,0.68438,0.4122,0.89152,0.84179,0.7939,0.84581,0.51165,1.33379,0.75984,1.18751,0.000412749,0.000412749,0.000412749
116,919.571,0.66835,0.41517,0.87953,0.87286,0.76913,0.84865,0.52369,1.33509,0.76772,1.16679,0.000401747,0.000401747,0.000401747
117,927.267,0.66246,0.39587,0.86441,0.85073,0.77633,0.84266,0.5364,1.3386,0.78588,1.16874,0.000390745,0.000390745,0.000390745
118,935.059,0.70656,0.42144,0.87763,0.87316,0.77291,0.84608,0.51931,1.37547,0.82601,1.15722,0.000379743,0.000379743,0.000379743
119,942.714,0.6672,0.40895,0.86516,0.86573,0.77291,0.83364,0.52368,1.40978,0.788,1.174,0.00036874,0.00036874,0.00036874
120,950.386,0.63928,0.39045,0.87207,0.85999,0.78301,0.84623,0.52628,1.33083,0.7735,1.15998,0.000357738,0.000357738,0.000357738
121,958.068,0.67844,0.40204,0.87246,0.86099,0.78812,0.84926,0.52074,1.34207,0.77067,1.16949,0.000346736,0.000346736,0.000346736
122,965.694,0.67536,0.41998,0.87884,0.87055,0.75159,0.84194,0.51942,1.38538,0.79917,1.16973,0.000335734,0.000335734,0.000335734
123,973.334,0.68076,0.41555,0.88418,0.82222,0.80654,0.84037,0.52627,1.3936,0.7893,1.17067,0.000324732,0.000324732,0.000324732
124,981.086,0.63851,0.39055,0.87511,0.80957,0.80487,0.84366,0.5269,1.36047,0.80574,1.16654,0.000313729,0.000313729,0.000313729
125,988.778,0.67994,0.40858,0.87812,0.84672,0.8057,0.8408,0.5329,1.33724,0.76002,1.15658,0.000302727,0.000302727,0.000302727
126,996.41,0.63162,0.38869,0.86305,0.83222,0.79071,0.84421,0.53817,1.36004,0.77108,1.15773,0.000291725,0.000291725,0.000291725
127,1004.11,0.6484,0.39098,0.87815,0.81542,0.8057,0.84223,0.53572,1.33586,0.71483,1.16123,0.000280723,0.000280723,0.000280723
128,1011.86,0.64483,0.38543,0.87073,0.86794,0.77377,0.84806,0.5396,1.33491,0.76525,1.14623,0.000269721,0.000269721,0.000269721
129,1019.64,0.60643,0.37674,0.85575,0.81739,0.80065,0.83852,0.5298,1.3598,0.77735,1.15945,0.000258718,0.000258718,0.000258718
130,1027.25,0.58945,0.37959,0.85839,0.83666,0.76714,0.83714,0.52628,1.38066,0.77816,1.16604,0.000247716,0.000247716,0.000247716
