epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
92,3112.75,0.94864,0.60227,0.98934,0.84211,0.76848,0.83127,0.50117,1.3969,0.84424,1.14868,0.0006658,0.0006658,0.0006658
93,3145.87,0.94244,0.59529,0.97998,0.84853,0.7588,0.82819,0.49754,1.39037,0.8428,1.13579,0.000654798,0.000654798,0.000654798
94,3178.98,0.94779,0.60436,0.9806,0.84097,0.78935,0.83554,0.50511,1.38339,0.82014,1.14246,0.000643795,0.000643795,0.000643795
95,3212.2,0.94473,0.59909,0.98209,0.85036,0.7736,0.83669,0.50883,1.35741,0.82859,1.13087,0.000632793,0.000632793,0.000632793
96,3245.33,0.92976,0.59541,0.97701,0.81753,0.78057,0.82649,0.50217,1.39826,0.83497,1.1348,0.000621791,0.000621791,0.000621791
97,3278.48,0.92216,0.58378,0.97312,0.85002,0.78062,0.83431,0.50237,1.3886,0.82741,1.13658,0.000610789,0.000610789,0.000610789
98,3311.56,0.91515,0.57077,0.97615,0.83435,0.77469,0.82464,0.5035,1.36039,0.8253,1.13866,0.000599787,0.000599787,0.000599787
99,3344.7,0.90352,0.56506,0.9716,0.86366,0.76423,0.83776,0.51099,1.36991,0.8132,1.13178,0.000588784,0.000588784,0.000588784
100,3377.88,0.91442,0.57363,0.98052,0.83568,0.79387,0.84303,0.52054,1.36526,0.81096,1.13439,0.000577782,0.000577782,0.000577782
101,3411.16,0.91032,0.57353,0.97862,0.85389,0.74455,0.82264,0.4946,1.39382,0.84116,1.14144,0.00056678,0.00056678,0.00056678
102,3444.32,0.88495,0.55473,0.97139,0.84635,0.77584,0.82973,0.51035,1.37196,0.84269,1.13532,0.000555778,0.000555778,0.000555778
103,3477.51,0.88106,0.55038,0.96178,0.84924,0.7643,0.83053,0.50749,1.34208,0.80932,1.12276,0.000544776,0.000544776,0.000544776
104,3510.66,0.88711,0.55068,0.9658,0.86272,0.78267,0.84177,0.51898,1.33999,0.80605,1.12207,0.000533773,0.000533773,0.000533773
105,3543.81,0.88888,0.55205,0.95667,0.85862,0.76099,0.83412,0.51266,1.36809,0.81428,1.12896,0.000522771,0.000522771,0.000522771
106,3577,0.87141,0.54549,0.95752,0.83994,0.78671,0.84033,0.51117,1.3571,0.80309,1.13185,0.000511769,0.000511769,0.000511769
107,3610.12,0.87132,0.54121,0.95473,0.85337,0.7826,0.84153,0.51525,1.34967,0.79709,1.13068,0.000500767,0.000500767,0.000500767
108,3643.25,0.86565,0.53885,0.95133,0.84828,0.77435,0.83261,0.50117,1.36925,0.8239,1.1316,0.000489765,0.000489765,0.000489765
109,3676.4,0.87935,0.54836,0.9568,0.84133,0.80287,0.8381,0.51301,1.36065,0.79939,1.12424,0.000478762,0.000478762,0.000478762
110,3709.42,0.85265,0.53458,0.94824,0.86761,0.76808,0.82929,0.50055,1.37616,0.81192,1.12857,0.00046776,0.00046776,0.00046776
111,3742.29,0.85765,0.53535,0.95447,0.86406,0.77356,0.83043,0.51399,1.36429,0.81514,1.12681,0.000456758,0.000456758,0.000456758
112,3775.23,0.848,0.52809,0.95252,0.86514,0.7754,0.8335,0.51581,1.34558,0.80586,1.1208,0.000445756,0.000445756,0.000445756
113,3808.17,0.85367,0.53928,0.95212,0.87876,0.78102,0.84385,0.50918,1.34934,0.79331,1.116,0.000434754,0.000434754,0.000434754
114,3841.08,0.82897,0.51456,0.94581,0.86973,0.77713,0.8277,0.51574,1.34834,0.78785,1.12738,0.000423751,0.000423751,0.000423751
115,3874.01,0.83233,0.52261,0.94423,0.87249,0.7816,0.83493,0.5222,1.34965,0.8,1.12309,0.000412749,0.000412749,0.000412749
116,3907.04,0.83876,0.51584,0.95281,0.85071,0.79135,0.82952,0.51608,1.35342,0.80319,1.1202,0.000401747,0.000401747,0.000401747
117,3939.93,0.83952,0.52095,0.9423,0.84706,0.78051,0.82456,0.51338,1.3537,0.80529,1.11798,0.000390745,0.000390745,0.000390745
118,3972.8,0.82242,0.51281,0.94127,0.85622,0.79455,0.8367,0.52192,1.33091,0.78448,1.10725,0.000379743,0.000379743,0.000379743
119,4005.71,0.83065,0.50569,0.94677,0.87462,0.78616,0.82575,0.51154,1.34927,0.7957,1.12792,0.00036874,0.00036874,0.00036874
120,4038.58,0.8125,0.50687,0.93869,0.88546,0.7748,0.84115,0.51946,1.35508,0.78361,1.12917,0.000357738,0.000357738,0.000357738
121,4071.48,0.80871,0.50201,0.93388,0.88373,0.78341,0.83821,0.52289,1.33345,0.77901,1.11896,0.000346736,0.000346736,0.000346736
122,4104.51,0.81409,0.50437,0.93686,0.85655,0.79758,0.84173,0.52345,1.32277,0.77479,1.11897,0.000335734,0.000335734,0.000335734
